"","Espece","Age","Aile","Masse","Annee"
"169","DUSA","AHY",112,46.6,1
"170","DUSA","HY",113,49.8,1
"171","DUSA","AHY",112,54.3,1
"172","DUSA","AHY",110,49.2,1
"173","DUSA","AHY",111,50.2,1
"174","DUSA","HY",104,48.5,1
"175","DUSA","AHY",111,54.7,1
"176","DUSA","AHY",108,47.5,1
"177","DUSA","AHY",108,44.1,1
"178","DUSA","AHY",107,49.3,1
"179","DUSA","AHY",111,53.8,1
"180","DUSA","AHY",113,54.2,1
"181","DUSA","AHY",118,57.6,1
"182","DUSA","HY",113,54.1,1
"183","DUSA","HY",111,48.5,1
"184","DUSA","HY",107,46.3,1
"185","DUSA","AHY",109,47.1,1
"186","DUSA","AHY",116,59,1
"187","DUSA","HY",110,44.9,1
"188","DUSA","HY",113,52.2,1
"189","DUSA","AHY",112,47,1
"190","DUSA","HY",114,48.4,1
"191","DUSA","AHY",110,49.8,1
"192","DUSA","AHY",112,56.2,1
"193","DUSA","HY",112,51.9,1
"194","DUSA","HY",114,58.6,1
"195","DUSA","HY",107,52.4,1
"196","DUSA","AHY",107,50.3,1
"197","DUSA","AHY",112,55.9,1
"198","DUSA","AHY",116,58.4,1
"199","DUSA","AHY",113,51.2,1
"200","DUSA","AHY",110,55.8,1
"201","DUSA","HY",112,60.9,1
"202","DUSA","HY",106,50.8,1
"203","DUSA","AHY",118,58.9,1
"204","DUSA","AHY",110,56.3,1
"205","DUSA","AHY",115,54.9,1
"206","DUSA","HY",113,54.5,1
"207","DUSA","AHY",115,52.2,1
"208","DUSA","HY",116,54.1,1
"209","DUSA","AHY",113,55.1,1
"210","DUSA","HY",108,49.3,1
"211","DUSA","HY",114,59.2,1
"212","DUSA","HY",111,57.4,1
"213","DUSA","AHY",110,49.4,1
"214","DUSA","AHY",114,59.7,1
"215","DUSA","HY",108,51.6,1
"216","DUSA","HY",112,44.6,1
"217","DUSA","AHY",115,51.3,1
"218","DUSA","HY",112,55,1
"219","DUSA","HY",113,52.5,1
"220","DUSA","HY",113,54.9,1
"221","DUSA","AHY",111,50.1,1
"222","DUSA","HY",115,54.8,1
"223","DUSA","HY",108,49,1
"224","DUSA","HY",111,56.5,1
"225","DUSA","AHY",112,61.8,1
"226","DUSA","AHY",106,50.8,1
"227","DUSA","HY",106,51.5,1
"228","DUSA","HY",109,51.5,1
"229","DUSA","HY",112,57.3,1
"230","DUSA","HY",111,52.5,1
"231","DUSA","AHY",118,59,1
"232","DUSA","HY",112,52.3,1
"233","DUSA","AHY",112,54,1
"234","JABO","AHY",114,60.1,1
"235","DUSA","HY",113,47.7,1
"236","DUSA","AHY",117,59.1,1
"237","DUSA","AHY",115,50.7,1
"238","DUSA","AHY",119,66.5,1
"239","DUSA","AHY",117,59.7,1
"240","DUSA","HY",117,50.4,1
"241","DUSA","AHY",111,52,1
"242","DUSA","AHY",114,49.8,1
"243","DUSA","HY",115,55.2,1
"244","JABO","HY",109,46.7,1
"245","DUSA","AHY",113,54.4,1
"246","DUSA","AHY",113,53.9,1
"247","DUSA","HY",110,48.1,1
"248","DUSA","HY",112,50.9,1
"249","DUSA","HY",110,51.1,1
"250","DUSA","HY",113,48.9,1
"251","DUSA","AHY",112,53.5,1
"252","JABO","HY",109,45.8,1
"253","JABO","HY",110,47.3,1
"254","JABO","AHY",115,51.4,1
"255","DUSA","AHY",110,52.9,1
"256","DUSA","AHY",114,65.3,1
"257","DUSA","AHY",110,49.8,1
"258","DUSA","HY",111,61.1,1
"259","DUSA","AHY",113,58.2,1
"260","DUSA","AHY",114,54.5,1
